name,views,description,img_alt,video_link,warn_info
asics,299.5K,Blink and you may miss her. 👀 ASICS athlete Laura Hottenrott brings some serious speed to the streets of Paris in the new METASPEED+ Series colorway.,Blink and you may miss her. 👀 ASICS athlete Laura Hottenrott brings some serious speed to the streets of Paris in the new METASPEED+ Series colorway. created by ASICS with ASICS's original sound,/@asics/video/7210833365526777096,
asics,5610,"ASICS Trail Camp, but make it drama. ","ASICS Trail Camp, but make it drama. #trailrunning #photoshoot #bts #asicsrunning  created by ASICS with ASICS's original sound",/@asics/video/7209891527156436231,
asics,555.1K,"Celebrating, supporting, and inspiring women today. Just like any other day.","Celebrating, supporting, and inspiring women today. Just like any other day. Follow Maha Amsterdam store manager Elise and see how she moves throughout her workshift and uplifts her team in-store on this special day, as she does on any other. created by ASICS with Tollan Kim's Aesthetic",/@asics/video/7208271112088669448,
asics,6629,And that’s a wrap. Check out the behind the scenes of our latest women’s apparel collection. ,And that’s a wrap. Check out the behind the scenes of our latest women’s apparel collection. #nagino #womensrunning #womensapparel #asics  created by ASICS with Dombresky's Simple Hit,/@asics/video/7207550583878716680,
asics,10.5K,We’re loving the ,We’re loving the #gelnimbus9 right now 😍 #sneakerhead #sneakers #asicssportstyle #shoesforspring created by ASICS with Official Sound Studio's Hey It's Me,/@asics/video/7206329145473682695,
asics,170.4K,ASICS athletes Betsy Saina and Vincent Kipkemo bring the new METASPEED™+ Series colorway to the street of Tokyo. ,ASICS athletes Betsy Saina and Vincent Kipkemo bring the new METASPEED™+ Series colorway to the street of Tokyo. #tokyomarathon #running #runtok created by ASICS with ASICS's original sound - ASICS,/@asics/video/7205983393048169730,
asics,9764,Experience pure running comfort with the ,Experience pure running comfort with the #GELNIMBUS 25 - the ideal shoe for your everyday runs. 👟 #bestrunningshoes #marathon #training #runtok  created by ASICS with ASICS's original sound,/@asics/video/7205679179575102727,
asics,6.7M,It’s time to uplift your runs. 🙌,It’s time to uplift your runs. 🙌 Experience the next level of comfort with the #GELNIMBUS 25 shoe. 👟 created by ASICS with ASICS's original sound,/@asics/video/7205323564856249618,
asics,2.7M,🔊 Turn up the volume to hear the sound of comfort.,🔊 Turn up the volume to hear the sound of comfort.   #GELNIMBUS #ASMR #asicsfrontrunner  created by ASICS with ASICS's original sound,/@asics/video/7203737980345847041,
asics,1M,Unbox the new GEL-NIMBUS 25 shoe with us 📦 ,Unbox the new GEL-NIMBUS 25 shoe with us 📦  Enhanced shock absorption ✔️  Softer landings ✔️  Smoother transitions ✔️  created by ASICS with ASICS's original sound,/@asics/video/7203348715187309825,
asics,9536,"Pizza 🍕vs. Burger 🍔. Which is your favorite? We love both, period. ","Pizza 🍕vs. Burger 🍔. Which is your favorite? We love both, period. #ASICS #PIZZA #BURGER #track #tracktok #running #runtok  created by ASICS with ASICS's original sound",/@asics/video/7203052417657720065,
asics,10.8K,We’re taking notes ✍️. Felipe Bardi teaching us how it’s done. ,We’re taking notes ✍️. Felipe Bardi teaching us how it’s done. #FELIPEBARDI #OREGON #WCHOREGON22 #ASICSRUNNING #RUNTOK #RUNNING #TRACKANDFIELD#ASICSATHLETE #BTS #BEHINDTHESCENES  created by ASICS with AGM3's Night Shades,/@asics/video/7201214676342967553,
